,Date,AAPL,AAXN,BAC,JPM,MA,MSFT,NFLX,SCI,V
0,2015-12-31,98.12966918945312,17.290000915527344,15.562767028808594,58.12590026855469,94.548828125,51.024227142333984,114.37999725341797,24.16895294189453,75.17037963867188
1,2016-01-04,98.21358489990234,16.829999923706055,15.19288444519043,56.380088806152344,92.07247161865234,50.398834228515625,109.95999908447266,23.630216598510742,73.37713623046875
2,2016-01-05,95.7524185180664,17.020000457763672,15.19288444519043,56.477577209472656,92.24726867675781,50.628761291503906,107.66000366210938,23.834564208984375,73.92965698242188
3,2016-01-06,93.87858581542969,17.639999389648438,14.869236946105957,55.66226577758789,90.83631134033203,49.70907211303711,117.68000030517578,23.658084869384766,72.9603500366211
4,2016-01-07,89.91647338867188,16.59000015258789,14.33290958404541,53.411319732666016,89.17236328125,47.98005676269531,114.55999755859375,23.230810165405273,71.52576446533203
5,2016-01-08,90.39190673828125,16.280000686645508,14.055497169494629,52.21494674682617,87.46947479248047,48.12721633911133,111.38999938964844,22.933570861816406,70.6436767578125
6,2016-01-11,91.8555679321289,15.859999656677246,14.157217025756836,52.13519287109375,88.1408920288086,48.09961700439453,114.97000122070312,22.924280166625977,71.65176391601562
7,2016-01-12,93.18870544433594,16.020000457763672,14.157217025756836,52.25039291381836,88.97773742675781,48.541072845458984,116.58000183105469,22.97072410583496,72.46600341796875
8,2016-01-13,90.79279327392578,15.40999984741211,13.778083801269531,50.81474304199219,86.788330078125,47.49263000488281,106.55999755859375,22.227636337280273,70.85692596435547
9,2016-01-14,92.77849578857422,15.479999542236328,13.861311912536621,51.576881408691406,88.26741027832031,48.84457015991211,107.05999755859375,22.320520401000977,71.53546142578125
10,2016-01-15,90.5504150390625,14.630000114440918,13.37121868133545,50.54889678955078,86.32125091552734,46.89483642578125,104.04000091552734,21.828229904174805,69.6258773803711
11,2016-01-19,90.11225128173828,14.5,13.167781829833984,50.52230453491211,83.89830017089844,46.49937057495117,107.88999938964844,22.097599029541016,69.19938659667969
12,2016-01-20,90.23343658447266,15.100000381469727,12.659193992614746,49.19300079345703,82.83763885498047,46.71089553833008,107.73999786376953,21.818937301635742,68.51117706298828
13,2016-01-21,89.77662658691406,15.65999984741211,12.354042053222656,48.962589263916016,83.8010025024414,46.425785064697266,102.3499984741211,21.49383544921875,69.36419677734375
14,2016-01-22,94.54981231689453,15.430000305175781,12.538984298706055,50.46913146972656,85.6303939819336,48.090415954589844,100.72000122070312,22.283370971679688,70.46919250488281
15,2016-01-25,92.70393371582031,15.020000457763672,11.984162330627441,49.325931549072266,84.43347930908203,47.630577087402344,99.12000274658203,21.59601402282715,69.53865051269531
16,2016-01-26,93.21665954589844,15.850000381469727,12.307807922363281,50.58434295654297,84.65731048583984,47.98005676269531,97.83000183105469,22.20905876159668,69.67436218261719
17,2016-01-27,87.09172821044922,15.149999618530273,12.354042053222656,50.54889678955078,82.5262680053711,47.10635757446289,91.1500015258789,21.98613166809082,68.734130859375
18,2016-01-28,87.7163314819336,14.800000190734863,12.511242866516113,50.76157760620117,81.18342590332031,47.87889099121094,94.41000366210938,21.809646606445312,67.2026138305664
19,2016-01-29,90.74617767333984,15.390000343322754,13.075311660766602,52.72894287109375,86.63262939453125,50.66554260253906,91.83999633789062,22.469141006469727,72.20426940917969
20,2016-02-01,89.8978271484375,15.430000305175781,12.908864974975586,52.161781311035156,86.24341583251953,50.316062927246094,94.08999633789062,22.283370971679688,72.09765625
21,2016-02-02,88.07992553710938,14.75,12.233829498291016,50.5400276184082,83.61610412597656,48.743404388427734,91.48999786376953,21.688899993896484,71.1477279663086
22,2016-02-03,89.8232421875,15.0600004196167,12.048892974853516,50.87678527832031,84.1415786743164,47.97085952758789,90.73999786376953,21.075849533081055,72.09765625
23,2016-02-04,90.54499053955078,15.800000190734863,12.252324104309082,51.75412368774414,84.00535583496094,47.8237190246582,89.70999908447266,21.178020477294922,71.41912841796875
24,2016-02-05,88.12669372558594,15.529999732971191,11.974916458129883,51.17809295654297,80.53147888183594,46.13149642944336,82.79000091552734,21.00153923034668,69.34480285644531
25,2016-02-08,89.05465698242188,15.380000114440918,11.346114158630371,50.10579299926758,78.4782943725586,45.44171142578125,83.31999969482422,20.70430564880371,65.69046783447266
26,2016-02-09,89.03590393066406,15.369999885559082,11.281387329101562,49.804481506347656,79.76274871826172,45.32216262817383,86.12999725341797,20.555688858032227,66.23328399658203
27,2016-02-10,88.36102294921875,15.479999542236328,11.077951431274414,49.201866149902344,81.066650390625,45.71763229370117,88.44999694824219,20.537109375,68.13706970214844
28,2016-02-11,87.82674407958984,15.40999984741211,10.319692611694336,47.03068161010742,79.89896392822266,45.69923400878906,86.3499984741211,20.109834671020508,66.5052719116211
29,2016-02-12,88.09857177734375,15.430000305175781,11.050209999084473,50.94768524169922,82.60411071777344,46.44418716430664,87.4000015258789,20.509244918823242,68.3993148803711
30,2016-02-16,90.58246612548828,16.31999969482422,11.327621459960938,51.70981216430664,83.85939025878906,47.324161529541016,89.05000305175781,21.447391510009766,69.05978393554688
31,2016-02-17,91.96971130371094,17.1299991607666,11.614280700683594,52.08201599121094,84.86164855957031,48.55612564086914,94.76000213623047,21.753915786743164,70.10113525390625
32,2016-02-18,90.22628784179688,17.110000610351562,11.318374633789062,51.231266021728516,83.72315216064453,48.343074798583984,90.48999786376953,21.122291564941406,69.33228302001953
33,2016-02-19,90.02007293701172,17.1200008392334,11.216657638549805,51.24012756347656,84.45294189453125,48.00033950805664,89.2300033569336,21.41023826599121,69.61454010009766
