,Beta,Return
^DJI,1.0,12.33
AA,1.49,-1.51
AIG,0.95,-2.38
AXP,0.85,16.32
BA,1.38,23.06
C,1.22,13.05
CAT,1.51,22.83
DD,1.22,-0.78
DIS,0.65,9.45
GE,0.7,-21.86
GM,0.66,6.49
HD,0.99,14.8
HON,1.32,16.76
HPQ,1.19,18.06
IBM,0.82,4.13
INTC,1.48,16.57
JNJ,0.71,11.38
JPM,1.18,21.53
KO,0.6,9.37
MCD,0.3,15.02
MMM,1.07,6.75
MO,0.82,0.36
MRK,0.69,16.51
MSFT,1.41,28.44
PFE,0.6,8.65
PG,1.02,13.92
T,0.77,8.25
UTX,0.95,13.61
VZ,1.06,11.37
WMT,0.76,18.79
XOM,0.97,1.61
